user_id,email,signup_date,company_size,subscription_tier,country
U00154,user154@example.com,2025-08-10,SMALL,free,UK
U00155,user155@example.com,2025-08-11, startup,,Germany
U00156,user156@example.com,2025-11-12, startup,free,U.S.A
U00157,user157@example.com,2025-08-12, startup,Enterprise,Australia
U00158,user158@example.com,2026-03-13,Startup,Enterprise,U.S.A
U00159,user159@example.com,2025-05-05, startup,PRO,india 
U00160,USER160@EXAMPLE.COM,2025-06-22,,Enterprise,UK
U00161,user161@example.com,2025-09-07,,Enterprise,Australia
U00162,user162@example.com,2025-05-24,SMALL,Enterprise,India
U00163,user163@example.com,2025-09-22,Startup,Pro,india 
U00164,user164@example.com,2025-09-08,Small,,U.S.A
U00165,user165@example.com,2025-11-27,Enterprise,Free,USA
U00166,user166@example.com,2025-05-31,SMALL,Pro,Germany
U00167,user167@example.com,2025-12-06,Enterprise,PRO,Australia
U00168,user168@example.com,2025-08-06, startup,Enterprise,Australia
U00169,user169@example.com,2025-12-26,Medium,Enterprise,Canada
U00170,user170@example.com,2025-03-03,Medium,Free,UK
U00171,user171@example.com,2025-04-09,Enterprise,Enterprise,Germany
U00172,user172@example.com,2025-02-21,Medium,Pro,Australia
U00173,user173@example.com,2025-04-02,SMALL,PRO,UK
U00174,user174@example.com,2025-05-21,Startup,PRO,Germany
U00175,user175@example.com,2025-12-24,SMALL,free,USA
U00176,USER176@EXAMPLE.COM,2026-03-23,Medium,free,U.S.A
U00177,user177@example.com,2025-08-14,Startup,Enterprise,U.S.A
U00178,user178@example.com,2025-02-28,Enterprise,free,USA
U00179,user179@example.com,2025-10-23,Startup,Pro,UK
U00180,user180@example.com,2026-02-20,Medium,Free,Canada
U00181,user181@example.com,2025-03-02,Enterprise,PRO,Canada
U00182,user182@example.com,2026-02-02,Enterprise,free,Germany
U00183,user183@example.com,2026-03-17,Enterprise,Enterprise,India
U00184,user184@example.com,2025-11-09,Startup,Pro,Canada
U00185,user185@example.com,2025-05-16,Small,Pro,UK
U00186,user186@example.com,2025-10-10,Startup,free,U.S.A
U00187,user187@example.com,2025-12-19,Medium,Free,Canada
U00188,user188@example.com,2025-05-28,SMALL,free,USA
U00189,user189@example.com,2025-12-18,Medium,,Canada
U00190,user190@example.com,2025-08-06,Small,,UK
U00191,user191@example.com,2026-04-11,Small,Free,India
U00192,user192@example.com,2025-03-26, startup,,Germany
U00193,user193@example.com,2025-08-13,SMALL,Enterprise,india 
U00194,user194@example.com,2026-04-28, startup,free,U.S.A
U00195,user195@example.com,2025-02-11,Enterprise,,Australia
U00196,user196@example.com,2025-11-06,Startup,Pro,India
U00197,user197@example.com,2026-01-27,Medium,PRO,India
U00198,user198@example.com,2026-01-26,Enterprise,PRO,U.S.A
U00199,user199@example.com,2026-04-15, startup,free,U.S.A
U00200,user200@example.com,2026-05-12,Medium,free,Australia
U00201,user201@example.com,2025-06-14,,Pro,Australia
U00202,user202@example.com,2025-07-30,Medium,,india 
U00203,user203@example.com,2026-02-21,Startup,free,USA
U00204,user204@example.com,2025-06-11,Startup,free,India
U00205,user205@example.com,2025-12-03,Enterprise,free,India
U00206,user206@example.com,2025-04-07, startup,free,U.S.A
U00207,user207@example.com,2026-01-25,Medium,PRO,UK
U00208,user208@example.com,2026-04-20,SMALL,free,USA
U00209,user209@example.com,2025-01-15, startup,Pro,UK
U00210,user210@example.com,2025-06-09, startup,free,USA
U00211,user211@example.com,2025-04-26,Startup,free,USA
U00212,user212@example.com,2025-11-28,Enterprise,,Germany
U00213,user213@example.com,2025-09-18,Enterprise,free,U.S.A
U00214,user214@example.com,2025-05-05,Small,free,Canada
U00215,user215@example.com,2026-04-17,SMALL,Pro,USA
U00216,user216@example.com,2025-05-22,,free,Australia
U00217,user217@example.com,2026-04-24,Medium,Free,Germany
U00218,user218@example.com,2026-01-07, startup,PRO,U.S.A
U00219,user219@example.com,2026-03-20, startup,free,Australia
U00220,user220@example.com,2025-06-20, startup,free,U.S.A
U00221,user221@example.com,2026-04-23,Small,,Canada
U00222,user222@example.com,2025-10-20,,free,India
U00223,user223@example.com,2025-06-12,SMALL,free,india 
U00224,user224@example.com,2025-12-06,SMALL,Pro,U.S.A
U00225,user225@example.com,2026-05-09, startup,PRO,Australia
U00226,user226@example.com,2026-03-22,,free,USA
U00227,user227@example.com,2025-09-27,Startup,,UK
U00228,user228@example.com,2025-07-29,Small,Free,U.S.A
U00229,user229@example.com,2026-02-05,Medium,PRO,india 
U00230,user230@example.com,2025-11-29,Medium,,india 
U00231,user231@example.com,2026-05-04,SMALL,free,India
U00232,user232@example.com,2025-11-13,SMALL,,Germany
U00233,user233@example.com,2025-04-27,Enterprise,Free,USA
U00234,user234@example.com,2025-08-16,Medium,Free,India
U00235,user235@example.com,2025-06-16,Medium,Enterprise,Australia
U00236,user236@example.com,2025-08-09, startup,free,UK
U00237,user237@example.com,2025-03-29, startup,free,Canada
U00238,user238@example.com,2025-09-12,Small,Pro,U.S.A
U00239,user239@example.com,2025-11-23,Medium,,India
U00240,user240@example.com,2026-04-06,Medium,,UK
U00241,user241@example.com,2025-02-07,Medium,PRO,Germany
U00242,user242@example.com,2025-11-24,SMALL,Enterprise,U.S.A
U00243,user243@example.com,2026-03-09,Enterprise,free,USA
U00244,user244@example.com,2025-05-02,Medium,PRO,Germany
U00245,user245@example.com,2025-12-25,,,india 
U00246,USER246@EXAMPLE.COM,2025-05-21,,,India
U00247,user247@example.com,2026-04-12,Enterprise,Enterprise,Canada
U00248,user248@example.com,2025-11-07,Small,,Canada
U00249,user249@example.com,2025-11-14,,,UK
U00250,user250@example.com,2025-11-18,SMALL,,India
U00251,user251@example.com,2025-06-08,Startup,PRO,Australia
U00252,user252@example.com,2026-01-10,Medium,Enterprise,india 
U00253,user253@example.com,2025-03-31,,PRO,Australia
U00254,user254@example.com,2025-09-29,Medium,Pro,Germany
U00255,user255@example.com,2026-04-13,Enterprise,Enterprise,Australia
U00256,user256@example.com,2026-02-16,Startup,Pro,Canada
U00257,user257@example.com,2026-03-17,SMALL,free,Australia
U00258,user258@example.com,2025-02-16,Startup,Enterprise,USA
U00259,user259@example.com,2025-08-21,SMALL,,Germany
U00260,user260@example.com,2025-10-27,SMALL,Enterprise,USA
U00261,user261@example.com,2025-12-12,Startup,PRO,Australia
U00262,user262@example.com,2026-04-14,SMALL,Free,U.S.A
U00263,user263@example.com,2026-04-11,SMALL,free,USA
U00264,user264@example.com,2025-03-13,Startup,Enterprise,U.S.A
U00265,user265@example.com,2025-03-01, startup,Pro,india 
U00266,user266@example.com,2025-08-21,SMALL,,india 
U00267,user267@example.com,2025-10-28,Small,free,USA
U00268,user268@example.com,2026-03-03,Enterprise,Enterprise,India
U00269,user269@example.com,2025-12-20,Enterprise,free,Canada
U00270,user270@example.com,2026-03-14,SMALL,Enterprise,Australia
U00271,user271@example.com,2025-02-01,Small,Free,U.S.A
U00272,user272@example.com,2025-02-16,SMALL,,India
U00273,user273@example.com,2025-01-26,Small,Pro,Canada
U00274,user274@example.com,2025-02-05, startup,Pro,Canada
U00275,user275@example.com,2026-02-21,Medium,Pro,India
U00276,user276@example.com,2025-05-22,Small,Pro,Germany
U00277,user277@example.com,2026-02-13,SMALL,Free,UK
U00278,user278@example.com,2025-01-08,,Pro,Australia
U00279,user279@example.com,2025-01-09,Startup,Pro,india 
U00280,user280@example.com,2025-09-27,Startup,free,U.S.A
U00281,user281@example.com,2026-02-03, startup,Free,U.S.A
U00282,user282@example.com,2025-09-15, startup,Free,Germany
U00283,user283@example.com,2025-08-23,Startup,Free,U.S.A
U00284,user284@example.com,2026-03-10,SMALL,Free,U.S.A
U00285,user285@example.com,2025-12-31,Startup,Free,Australia
U00286,user286@example.com,2025-11-08,Small,Enterprise,Australia
U00287,user287@example.com,2025-07-15, startup,Enterprise,U.S.A
U00288,user288@example.com,2025-09-16,Startup,,USA
U00289,user289@example.com,2026-03-13,,PRO,Canada
U00290,user290@example.com,2025-08-09,Small,free,Australia
U00291,user291@example.com,2026-02-28,Enterprise,,USA
U00292,user292@example.com,2025-06-10,SMALL,Enterprise,Australia
U00293,user293@example.com,2026-05-04,Enterprise,Free,USA
U00294,user294@example.com,2026-03-02,Enterprise,Free,Australia
U00295,user295@example.com,2026-02-20,Startup,PRO,Australia
U00296,user296@example.com,2025-12-10,Medium,,india 
U00297,user297@example.com,2026-03-21,Startup,Enterprise,Germany
U00298,user298@example.com,2025-06-30, startup,Pro,UK
U00299,user299@example.com,2025-12-03,,Free,Australia
U00300,user300@example.com,2026-03-09,Startup,Enterprise,Canada
U00301,user301@example.com,2026-02-18, startup,PRO,India
U00302,user302@example.com,2025-11-08,,,Germany
U00303,user303@example.com,2025-01-15,SMALL,Enterprise,Australia
U00304,USER304@EXAMPLE.COM,2025-06-29,,Pro,india 
U00305,user305@example.com,2025-02-05,SMALL,Free,USA
U00306,user306@example.com,2026-01-18,Enterprise,free,U.S.A
U00307,user307@example.com,2025-06-24,Medium,,Australia
U00308,user308@example.com,2026-02-02, startup,Free,India
U00309,user309@example.com,2025-03-21, startup,Free,USA
U00310,user310@example.com,2025-05-20,Enterprise,free,U.S.A
U00311,user311@example.com,2025-08-01,,PRO,USA
U00312,user312@example.com,2025-06-26,Medium,,U.S.A
U00313,user313@example.com,2025-09-27,Startup,Pro,india 
U00314,user314@example.com,2025-11-03,Small,Enterprise,Canada
U00315,user315@example.com,2026-01-28,Medium,Enterprise,Australia
U00316,USER316@EXAMPLE.COM,2025-03-03,SMALL,free,UK
U00317,user317@example.com,2025-03-08,SMALL,Pro,Australia
U00318,user318@example.com,2025-02-06,SMALL,Free,india 
U00319,user319@example.com,2025-01-10,Startup,Enterprise,india 
U00320,user320@example.com,2025-10-21,SMALL,free,Germany
U00321,user321@example.com,2025-02-28,Medium,Pro,U.S.A
U00322,user322@example.com,2026-03-02,Medium,Free,india 
U00323,user323@example.com,2026-03-09,Enterprise,PRO,india 
U00324,user324@example.com,2025-09-26,,Enterprise,Australia
U00325,user325@example.com,2025-04-24,Small,Free,USA
U00326,user326@example.com,2025-09-29,,Enterprise,Australia
U00327,user327@example.com,2026-01-08,SMALL,Pro,Canada
U00328,user328@example.com,2025-02-22,Small,Pro,UK
U00329,user329@example.com,2026-01-25,Startup,Pro,U.S.A
U00330,user330@example.com,2025-08-26,,PRO,U.S.A
U00331,user331@example.com,2025-12-15, startup,,Australia
U00332,user332@example.com,2026-03-19,Medium,Pro,U.S.A
U00333,user333@example.com,2025-02-04,SMALL,Enterprise,Germany
U00334,user334@example.com,2025-10-30, startup,Free,Germany
U00335,user335@example.com,2025-08-25,Startup,Enterprise,Germany
U00336,user336@example.com,2025-02-09,,Free,india 
U00337,user337@example.com,2025-08-25,,,India
U00338,user338@example.com,2025-08-19, startup,,Canada
U00339,user339@example.com,2025-06-14, startup,Pro,India
U00340,user340@example.com,2025-08-19,,Enterprise,USA
U00341,user341@example.com,2025-09-16,Startup,Pro,U.S.A
U00342,user342@example.com,2025-08-13, startup,Pro,Australia
U00343,user343@example.com,2025-07-10,Enterprise,free,Australia
U00344,user344@example.com,2025-12-14,,,Australia
U00345,user345@example.com,2025-02-03, startup,,india 
U00346,user346@example.com,2025-05-26,,,UK
U00347,user347@example.com,2025-06-20,SMALL,Pro,Australia
U00348,user348@example.com,2025-06-08,SMALL,,india 
U00349,user349@example.com,2025-03-08,Startup,Enterprise,india 
U00350,user350@example.com,2025-11-26,,Pro,USA
U00351,user351@example.com,2025-11-27, startup,Enterprise,India
U00352,user352@example.com,2025-07-05,Small,Enterprise,U.S.A
U00353,user353@example.com,2025-04-09,Small,Pro,USA
U00354,user354@example.com,2025-06-01,Startup,PRO,India
U00355,user355@example.com,2025-12-05,,PRO,UK
U00356,user356@example.com,2025-11-02,Small,Pro,UK
U00357,user357@example.com,2026-01-05,Enterprise,Enterprise,Canada
U00358,user358@example.com,2026-05-12,Medium,,U.S.A
U00359,user359@example.com,2025-04-30,Medium,free,Canada
U00360,user360@example.com,2025-07-08, startup,free,U.S.A
U00361,user361@example.com,2026-01-29,Enterprise,PRO,india 
U00362,user362@example.com,2026-05-10,Small,PRO,UK
U00363,user363@example.com,2026-03-23,SMALL,free,Australia
U00364,user364@example.com,2025-10-11,SMALL,PRO,USA
U00365,user365@example.com,2025-05-26,Small,Enterprise,U.S.A
U00366,user366@example.com,2026-04-09,,free,USA
U00367,user367@example.com,2026-04-30,,free,Australia
U00368,USER368@EXAMPLE.COM,2026-04-22,Startup,free,Australia
U00369,user369@example.com,2025-05-01,Startup,Enterprise,Canada
U00370,user370@example.com,2025-01-15,Startup,,Australia
U00371,user371@example.com,2026-02-10,Startup,Enterprise,U.S.A
U00372,user372@example.com,2025-12-23,,,U.S.A
U00373,user373@example.com,2025-08-18,Startup,Free,Germany
U00374,user374@example.com,2025-04-21, startup,,india 
U00375,user375@example.com,2025-02-26,Small,Enterprise,USA
U00376,user376@example.com,2025-01-25,SMALL,PRO,U.S.A
U00377,user377@example.com,2025-02-02,Enterprise,PRO,India
U00378,user378@example.com,2025-11-20,Small,,UK
U00379,user379@example.com,2025-05-30, startup,Enterprise,Canada
U00380,user380@example.com,2025-10-20,SMALL,,USA
U00381,user381@example.com,2025-09-26,Startup,PRO,India
U00382,user382@example.com,2025-07-19,Startup,,india 
U00383,user383@example.com,2025-07-11,Startup,Enterprise,USA
U00384,user384@example.com,2025-06-26,SMALL,,USA
U00385,user385@example.com,2026-01-31,,Enterprise,UK
U00386,user386@example.com,2025-01-23,Medium,,UK
U00387,user387@example.com,2026-03-02,Enterprise,,U.S.A
U00388,user388@example.com,2025-11-20,Small,Free,U.S.A
U00389,user389@example.com,2025-01-19,Startup,Pro,India
U00390,user390@example.com,2025-06-11, startup,free,U.S.A
U00391,user391@example.com,2025-05-10,SMALL,Pro,Germany
U00392,user392@example.com,2025-07-02,Startup,,Australia
U00393,user393@example.com,2025-05-20,Medium,free,india 
U00394,user394@example.com,2026-01-16,Enterprise,Enterprise,UK
U00395,user395@example.com,2025-09-12,Medium,PRO,Germany
U00396,user396@example.com,2026-02-15,Enterprise,Free,india 
U00397,user397@example.com,2025-11-05,Small,PRO,Germany
U00398,user398@example.com,2025-06-14,Medium,,Germany
U00399,user399@example.com,2025-06-06,SMALL,free,UK
U00400,user400@example.com,2025-12-20,Enterprise,Free,Australia
U00401,user401@example.com,2025-11-11,Medium,,India
U00402,user402@example.com,2025-02-08,Enterprise,Enterprise,UK
U00403,user403@example.com,2026-05-03,,PRO,U.S.A
U00404,user404@example.com,2025-01-18,Small,,Australia
U00405,user405@example.com,2025-07-05, startup,Free,UK
U00406,user406@example.com,2025-12-14,Medium,Enterprise,U.S.A
U00407,user407@example.com,2026-01-26,Small,PRO,Australia
U00408,user408@example.com,2025-07-23,Medium,Pro,USA
U00409,user409@example.com,2025-01-14,Enterprise,PRO,india 
U00410,user410@example.com,2026-04-13,Medium,Enterprise,U.S.A
U00411,user411@example.com,2025-04-20,Medium,,U.S.A
U00412,user412@example.com,2025-04-13,,Free,U.S.A
U00413,user413@example.com,2025-03-30,Enterprise,Free,Australia
U00414,user414@example.com,2025-12-08,Startup,PRO,Germany
U00415,user415@example.com,2026-04-02,Small,,UK
U00416,user416@example.com,2026-02-11,Small,Free,Canada
U00417,user417@example.com,2026-02-10,,free,India
U00418,user418@example.com,2025-07-04,Medium,free,UK
U00419,user419@example.com,2025-11-10,Startup,Enterprise,india 
U00420,user420@example.com,2026-01-03, startup,free,india 
U00421,user421@example.com,2026-02-26,Small,Enterprise,USA
U00422,user422@example.com,2025-08-19, startup,Enterprise,UK
U00423,user423@example.com,2026-03-26, startup,,UK
U00424,user424@example.com,2026-01-29,Enterprise,PRO,India
U00425,user425@example.com,2026-03-02,Small,Enterprise,UK
U00426,user426@example.com,2025-03-24,SMALL,Pro,Australia
U00427,user427@example.com,2026-05-01,Medium,Free,Germany
U00428,user428@example.com,2025-04-11, startup,Enterprise,UK
U00429,user429@example.com,2025-11-17, startup,Free,UK
U00430,user430@example.com,2025-10-31,Small,Pro,Australia
U00431,user431@example.com,2026-03-08,Startup,Free,USA
U00432,user432@example.com,2025-01-24,,PRO,Germany
U00433,user433@example.com,2025-11-30, startup,free,India
U00434,user434@example.com,2025-09-12, startup,Enterprise,Germany
U00435,user435@example.com,2025-09-05,,,india 
U00436,user436@example.com,2025-06-02,SMALL,Free,UK
U00437,user437@example.com,2025-08-14,Enterprise,Pro,Australia
U00438,user438@example.com,2025-11-07,,,Australia
U00439,user439@example.com,2026-01-11,Medium,free,UK
U00440,user440@example.com,2026-01-25, startup,Free,Australia
U00441,user441@example.com,2025-05-04,Medium,free,Canada
U00442,user442@example.com,2025-03-14,Medium,free,india 
U00443,user443@example.com,2025-05-08,Small,Enterprise,Australia
U00444,user444@example.com,2025-04-08,Enterprise,PRO,U.S.A
U00445,user445@example.com,2025-09-13,Enterprise,Free,USA
U00446,user446@example.com,2026-04-29,Enterprise,Pro,Canada
U00447,user447@example.com,2025-10-26,Startup,Enterprise,U.S.A
U00448,user448@example.com,2025-11-02,SMALL,,U.S.A
U00449,user449@example.com,2025-05-27,,Free,india 
U00450,user450@example.com,2025-03-10,SMALL,Enterprise,india 
U00451,user451@example.com,2025-07-07,Startup,PRO,Canada
U00452,user452@example.com,2025-07-05,Startup,free,U.S.A
U00453,user453@example.com,2026-01-27,,PRO,USA
U00454,user454@example.com,2025-03-07,Enterprise,Enterprise,Australia
U00455,user455@example.com,2025-10-13,,Pro,Canada
U00456,user456@example.com,2025-11-05, startup,Free,India
U00457,user457@example.com,2025-01-20,Medium,free,U.S.A
U00458,user458@example.com,2025-03-18, startup,Pro,Australia
U00459,user459@example.com,2026-04-22,Small,free,Germany
U00460,user460@example.com,2025-10-31,,PRO,U.S.A
U00461,user461@example.com,2025-12-29,Enterprise,Free,Australia
U00462,user462@example.com,2025-06-19,Enterprise,PRO,Germany
U00463,user463@example.com,2026-02-12,,,India
U00464,user464@example.com,2025-11-02,SMALL,PRO,Canada
U00465,user465@example.com,2026-01-05,Enterprise,Pro,india 
U00466,user466@example.com,2025-03-17,Small,Free,USA
U00467,USER467@EXAMPLE.COM,2025-04-08,Medium,free,UK
U00468,user468@example.com,2025-07-31,Enterprise,PRO,U.S.A
U00469,user469@example.com,2026-03-23,SMALL,Free,UK
U00470,user470@example.com,2025-09-23,Medium,,U.S.A
U00471,user471@example.com,2025-09-27,Small,free,Australia
U00472,user472@example.com,2025-10-07,,,Germany
U00473,user473@example.com,2025-11-09,Small,Enterprise,Germany
U00474,user474@example.com,2025-04-26,Medium,Enterprise,Canada
U00475,user475@example.com,2025-12-20,Medium,free,Australia
U00476,user476@example.com,2025-10-14,,,Germany
U00477,user477@example.com,2025-05-28,SMALL,PRO,india 
U00478,user478@example.com,2026-04-04,,Enterprise,UK
U00479,user479@example.com,2025-05-29,SMALL,Free,Australia
U00480,user480@example.com,2026-04-19,Medium,,U.S.A
U00481,user481@example.com,2025-04-20, startup,Enterprise,Germany
U00482,user482@example.com,2025-03-12,SMALL,PRO,Canada
U00483,user483@example.com,2025-05-05, startup,Pro,Canada
